347,Newcastle United,Chelsea,0,0,D,2006-2007
348,Aston Villa,Portsmouth,0,0,D,2006-2007
349,Chelsea,Bolton Wanderers,2,2,D,2006-2007
350,Everton,Manchester United,2,4,A,2006-2007
351,Blackburn Rovers,Charlton Athletic,4,1,H,2006-2007
352,Manchester City,Aston Villa,0,2,A,2006-2007
353,Middlesbrough,Tottenham Hotspur,2,3,A,2006-2007
354,Portsmouth,Liverpool,2,1,H,2006-2007
355,Sheffield United,Watford,1,0,H,2006-2007
356,Wigan Athletic,West Ham United,0,3,A,2006-2007
357,Arsenal,Fulham,3,1,H,2006-2007
358,Reading,Newcastle United,1,0,H,2006-2007
359,Manchester City,Manchester United,0,1,A,2006-2007
360,Everton,Portsmouth,3,0,H,2006-2007
361,Fulham,Liverpool,1,0,H,2006-2007
362,Newcastle United,Blackburn Rovers,0,2,A,2006-2007
363,Reading,Watford,0,2,A,2006-2007
364,West Ham United,Bolton Wanderers,3,1,H,2006-2007
365,Wigan Athletic,Middlesbrough,0,1,A,2006-2007
366,Aston Villa,Sheffield United,3,0,H,2006-2007
367,Arsenal,Chelsea,1,1,D,2006-2007
368,Charlton Athletic,Tottenham Hotspur,0,2,A,2006-2007
369,Chelsea,Manchester United,0,0,D,2006-2007
370,Tottenham Hotspur,Blackburn Rovers,1,1,D,2006-2007
371,Blackburn Rovers,Reading,3,3,D,2006-2007
372,Bolton Wanderers,Aston Villa,2,2,D,2006-2007
373,Chelsea,Everton,1,1,D,2006-2007
374,Liverpool,Charlton Athletic,2,2,D,2006-2007
375,Manchester United,West Ham United,0,1,A,2006-2007
376,Middlesbrough,Fulham,3,1,H,2006-2007
377,Portsmouth,Arsenal,0,0,D,2006-2007
378,Sheffield United,Wigan Athletic,1,2,A,2006-2007
379,Tottenham Hotspur,Manchester City,2,1,H,2006-2007
380,Watford,Newcastle United,1,1,D,2006-2007
381,Sunderland,Tottenham Hotspur,1,0,H,2007-2008
382,Bolton Wanderers,Newcastle United,1,3,A,2007-2008
383,Derby County,Portsmouth,2,2,D,2007-2008
384,Everton,Wigan Athletic,2,1,H,2007-2008
385,Middlesbrough,Blackburn Rovers,1,2,A,2007-2008
386,West Ham United,Manchester City,0,2,A,2007-2008
387,Aston Villa,Liverpool,1,2,A,2007-2008
388,Arsenal,Fulham,2,1,H,2007-2008
389,Chelsea,Birmingham City,3,2,H,2007-2008
390,Manchester United,Reading,0,0,D,2007-2008
391,Tottenham Hotspur,Everton,1,3,A,2007-2008
392,Birmingham City,Sunderland,2,2,D,2007-2008
393,Fulham,Bolton Wanderers,2,1,H,2007-2008
394,Manchester City,Derby County,1,0,H,2007-2008
395,Portsmouth,Manchester United,1,1,D,2007-2008
396,Reading,Chelsea,1,2,A,2007-2008
397,Wigan Athletic,Middlesbrough,1,0,H,2007-2008
398,Portsmouth,Bolton Wanderers,3,1,H,2007-2008
399,Birmingham City,West Ham United,0,1,A,2007-2008
400,Fulham,Middlesbrough,1,2,A,2007-2008
401,Reading,Everton,1,0,H,2007-2008
402,Tottenham Hotspur,Derby County,4,0,H,2007-2008
403,Wigan Athletic,Sunderland,3,0,H,2007-2008
404,Newcastle United,Aston Villa,0,0,D,2007-2008
405,Manchester City,Manchester United,1,0,H,2007-2008
406,Blackburn Rovers,Arsenal,1,1,D,2007-2008
407,Liverpool,Chelsea,1,1,D,2007-2008
408,Sunderland,Liverpool,0,2,A,2007-2008
409,Arsenal,Manchester City,1,0,H,2007-2008
410,Aston Villa,Fulham,2,1,H,2007-2008
411,Bolton Wanderers,Reading,3,0,H,2007-2008
412,Chelsea,Portsmouth,1,0,H,2007-2008
413,Derby County,Birmingham City,1,2,A,2007-2008
414,West Ham United,Wigan Athletic,1,1,D,2007-2008
415,Everton,Blackburn Rovers,1,1,D,2007-2008
416,Middlesbrough,Newcastle United,2,2,D,2007-2008
417,Manchester United,Tottenham Hotspur,1,0,H,2007-2008
418,Bolton Wanderers,Everton,1,2,A,2007-2008
419,Fulham,Tottenham Hotspur,3,3,D,2007-2008
420,Liverpool,Derby County,6,0,H,2007-2008
421,Middlesbrough,Birmingham City,2,0,H,2007-2008
422,Newcastle United,Wigan Athletic,1,0,H,2007-2008
423,Reading,West Ham United,0,3,A,2007-2008
424,Manchester United,Sunderland,1,0,H,2007-2008
425,Arsenal,Portsmouth,3,1,H,2007-2008
426,Blackburn Rovers,Manchester City,1,0,H,2007-2008
427,Aston Villa,Chelsea,2,0,H,2007-2008
428,Everton,Manchester United,0,1,A,2007-2008
429,Portsmouth,Liverpool,0,0,D,2007-2008
430,Tottenham Hotspur,Arsenal,1,3,A,2007-2008
431,Birmingham City,Bolton Wanderers,1,0,H,2007-2008
432,Sunderland,Reading,2,1,H,2007-2008
433,West Ham United,Middlesbrough,3,0,H,2007-2008
434,Wigan Athletic,Fulham,1,1,D,2007-2008
435,Chelsea,Blackburn Rovers,0,0,D,2007-2008
436,Manchester City,Aston Villa,1,0,H,2007-2008
437,Derby County,Newcastle United,1,0,H,2007-2008
438,Arsenal,Derby County,5,0,H,2007-2008
439,Liverpool,Birmingham City,0,0,D,2007-2008
440,Middlesbrough,Sunderland,2,2,D,2007-2008
441,Reading,Wigan Athletic,2,1,H,2007-2008
442,Fulham,Manchester City,3,3,D,2007-2008
443,Newcastle United,West Ham United,3,1,H,2007-2008
444,Aston Villa,Everton,2,0,H,2007-2008
445,Blackburn Rovers,Portsmouth,0,1,A,2007-2008
446,Bolton Wanderers,Tottenham Hotspur,1,1,D,2007-2008
447,Manchester United,Chelsea,2,0,H,2007-2008
448,Manchester City,Newcastle United,3,1,H,2007-2008
449,Chelsea,Fulham,0,0,D,2007-2008
450,Derby County,Bolton Wanderers,1,1,D,2007-2008
451,Portsmouth,Reading,7,4,H,2007-2008
452,Sunderland,Blackburn Rovers,1,2,A,2007-2008
453,West Ham United,Arsenal,0,1,A,2007-2008
454,Wigan Athletic,Liverpool,0,1,A,2007-2008
455,Birmingham City,Manchester United,0,1,A,2007-2008
456,Everton,Middlesbrough,2,0,H,2007-2008
457,Tottenham Hotspur,Aston Villa,4,4,D,2007-2008
458,Manchester United,Wigan Athletic,4,0,H,2007-2008
459,Aston Villa,West Ham United,1,0,H,2007-2008
460,Arsenal,Sunderland,3,2,H,2007-2008
461,Reading,Derby County,1,0,H,2007-2008
462,Blackburn Rovers,Birmingham City,2,1,H,2007-2008
463,Bolton Wanderers,Chelsea,0,1,A,2007-2008
464,Liverpool,Tottenham Hotspur,2,2,D,2007-2008
465,Manchester City,Middlesbrough,3,1,H,2007-2008
466,Newcastle United,Everton,3,2,H,2007-2008
467,Fulham,Portsmouth,0,2,A,2007-2008
468,Everton,Liverpool,1,2,A,2007-2008
469,Arsenal,Bolton Wanderers,2,0,H,2007-2008
470,Blackburn Rovers,Reading,4,2,H,2007-2008
471,Fulham,Derby County,0,0,D,2007-2008
472,Manchester City,Birmingham City,1,0,H,2007-2008
473,Middlesbrough,Chelsea,0,2,A,2007-2008
474,Wigan Athletic,Portsmouth,0,2,A,2007-2008
475,Aston Villa,Manchester United,1,4,A,2007-2008
476,West Ham United,Sunderland,3,1,H,2007-2008
477,Newcastle United,Tottenham Hotspur,3,1,H,2007-2008
478,Birmingham City,Wigan Athletic,3,2,H,2007-2008
479,Chelsea,Manchester City,6,0,H,2007-2008
480,Manchester United,Middlesbrough,4,1,H,2007-2008
481,Reading,Newcastle United,2,1,H,2007-2008
482,Sunderland,Fulham,1,1,D,2007-2008
483,Portsmouth,West Ham United,0,0,D,2007-2008
484,Bolton Wanderers,Aston Villa,1,1,D,2007-2008
485,Derby County,Everton,0,2,A,2007-2008
486,Tottenham Hotspur,Blackburn Rovers,1,2,A,2007-2008
487,Liverpool,Arsenal,1,1,D,2007-2008
488,Arsenal,Manchester United,2,2,D,2007-2008
489,Aston Villa,Derby County,2,0,H,2007-2008
490,Everton,Birmingham City,3,1,H,2007-2008
491,Fulham,Reading,3,1,H,2007-2008
492,Middlesbrough,Tottenham Hotspur,1,1,D,2007-2008
493,Newcastle United,Portsmouth,1,4,A,2007-2008
494,Wigan Athletic,Chelsea,0,2,A,2007-2008
495,Blackburn Rovers,Liverpool,0,0,D,2007-2008
496,West Ham United,Bolton Wanderers,1,1,D,2007-2008
497,Manchester City,Sunderland,1,0,H,2007-2008
498,Sunderland,Newcastle United,1,1,D,2007-2008
499,Derby County,West Ham United,0,5,A,2007-2008
500,Liverpool,Fulham,2,0,H,2007-2008
501,Birmingham City,Aston Villa,1,2,A,2007-2008
502,Chelsea,Everton,1,1,D,2007-2008
503,Bolton Wanderers,Middlesbrough,0,0,D,2007-2008
504,Manchester United,Blackburn Rovers,2,0,H,2007-2008
